Time[s],0,2,4,6
34.9,-29.33333333,-22.33333333,-28,-29.66666667
35,-29,-22.66666667,-27.33333333,-29
35.1,-30.33333333,-22.66666667,-28,-28
35.2,-29.66666667,-22.33333333,-28.33333333,-29
35.3,-28.66666667,-22,-26.33333333,-29.66666667
35.4,-29.33333333,-23,-27,-29.33333333
35.5,-30.33333333,-23.33333333,-28.66666667,-28
35.6,-30,-22.33333333,-27.66666667,-30.33333333
35.7,-29,-22,-28,-30
35.8,-29,-22.66666667,-28.66666667,-29
35.9,-29,-21,-27.33333333,-29.33333333
36,-29.33333333,-24.33333333,-27.66666667,-28.66666667
36.1,-28.33333333,-23,-27.33333333,-28.66666667
36.2,-29.33333333,-22.33333333,-28.66666667,-29.33333333
36.3,-29.66666667,-22.33333333,-27.66666667,-27.33333333
36.4,-30.66666667,-22,-27.66666667,-28.33333333
36.5,-30.66666667,-21.66666667,-28.66666667,-29.33333333
36.6,-29.66666667,-23,-27,-29.33333333
36.7,-28.66666667,-22.66666667,-28,-28.33333333
36.8,-28.66666667,-22.66666667,-28,-29.33333333
36.9,-29,-23,-28.66666667,-28.66666667
37,-29.66666667,-22.33333333,-27,-28.66666667
37.1,-29,-24.66666667,-28.33333333,-29.33333333
37.2,-29.66666667,-23.66666667,-27.66666667,-28.66666667
37.3,-29,-22.33333333,-28,-28.33333333
37.4,-29.33333333,-24,-27.66666667,-28.66666667
37.5,-29.33333333,-22.33333333,-27.66666667,-28.66666667
37.6,-29,-24,-27,-30
37.7,-29.66666667,-23.66666667,-28,-29.33333333
37.8,-30.66666667,-23.66666667,-28.66666667,-29.33333333
37.9,-28.66666667,-22.66666667,-28.66666667,-28.66666667
38,-29,-22.66666667,-28,-28.66666667
38.1,-30,-23.33333333,-28,-28.66666667
38.2,-30,-24,-27.33333333,-29
38.3,-30,-23,-30.33333333,-28
38.4,-30.66666667,-23.66666667,-29.33333333,-28.66666667
38.5,-30,-23.66666667,-29,-29.33333333
38.6,-30,-23.33333333,-28.33333333,-28.66666667
38.7,-30.33333333,-23.33333333,-28,-30.33333333
38.8,-31.33333333,-23,-28.33333333,-28.66666667
38.9,-30.33333333,-23,-27.66666667,-28.66666667
39,-30.33333333,-23,-28.33333333,-28.66666667
39.1,-32,-23.33333333,-29.66666667,-30.33333333
39.2,-29.33333333,-25.33333333,-28.33333333,-29.66666667
39.3,-29.66666667,-24,-29,-29
39.4,-30.33333333,-23.33333333,-28.66666667,-29
39.5,-29.66666667,-24,-27.33333333,-29
39.6,-29.33333333,-24.33333333,-28,-29
39.7,-31,-23.33333333,-29.33333333,-29.33333333
39.8,-30,-24,-29.33333333,-29.66666667
39.9,-29.66666667,-23,-28.66666667,-29.33333333
40,-30.66666667,-24,-29,-29.33333333
40.1,-29.66666667,-23.33333333,-30,-29.33333333
40.2,-29.66666667,-23.33333333,-28.66666667,-29
40.3,-30,-25,-29.33333333,-28.66666667
40.4,-29.66666667,-23.33333333,-27,-29.33333333
40.5,-30.33333333,-23.66666667,-29,-29.33333333
40.6,-30.33333333,-23.66666667,-28.66666667,-29.33333333
40.7,-29.66666667,-22.33333333,-28.33333333,-29.33333333
40.8,-28.66666667,-22.66666667,-27.66666667,-28.66666667
40.9,-30.33333333,-23.33333333,-30,-29.33333333
41,-29.66666667,-23.66666667,-28.33333333,-29.33333333
41.1,-29.33333333,-24.33333333,-28.66666667,-30.33333333
41.2,-32,-24.66666667,-28.66666667,-30
41.3,-30.66666667,-23.33333333,-28.33333333,-28.33333333
41.4,-30,-24,-27.33333333,-29
41.5,-29,-24,-28.66666667,-29
41.6,-29.66666667,-23.66666667,-28.66666667,-30.66666667
41.7,-32,-23.66666667,-27.66666667,-31
41.8,-29.33333333,-25.33333333,-28.33333333,-30
41.9,-31.33333333,-24,-29.33333333,-29
42,-31,-23.66666667,-30.33333333,-29.66666667
42.1,-30.33333333,-24.33333333,-28.33333333,-29.33333333
42.2,-30,-22.33333333,-30.33333333,-30
42.3,-30,-23,-28,-29.33333333
42.4,-30.66666667,-24.33333333,-28.66666667,-29.33333333
42.5,-29,-23.66666667,-29.33333333,-29
42.6,-30.33333333,-23.66666667,-29,-30
42.7,-30.66666667,-23.33333333,-27.66666667,-30
42.8,-30,-23,-30.33333333,-29.33333333
42.9,-30.33333333,-22.33333333,-28.33333333,-28.66666667
43,-29.66666667,-24.33333333,-28.66666667,-30
43.1,-29.66666667,-25,-28.66666667,-30
43.2,-31,-23,-28.66666667,-30.33333333
43.3,-30.33333333,-23.66666667,-27.33333333,-30.33333333
