x,z
249.25,2.018160613
249.5,2.040324492
249.75,2.062635152
250,2.045608596
250.25,2.034012924
250.5,2.015445171
250.75,2.015665342
251,2.022930985
251.25,2.025499646
251.5,2.018600955
251.75,2.045535205
252,2.066891791
252.25,2.055369509
252.5,2.048397428
252.75,2.05096609
253,2.046342499
253.25,2.0175001
253.5,2.001134057
253.75,2.037388879
254,2.087734644
254.25,2.085532934
254.5,2.049498283
254.75,2.013463632
255,2.014417707
255.25,2.047443354
255.5,2.035774292
255.75,2.040544663
256,2.064983642
256.25,2.067332133
256.5,2.074524385
256.75,2.067478913
257,2.034526656
257.25,2.015004829
257.5,2.068359597
257.75,2.084872421
258,2.075478459
258.25,2.046415889
258.5,2.01735332
258.75,2.020509104
259,2.034673437
259.25,2.034673437
259.5,2.029903066
259.75,2.056617145
260,2.068286207
260.25,2.039223637
260.5,2.003849499
260.75,1.984180892
261,1.984107501
261.25,1.994235367
261.5,2.01302329
261.75,2.039663979
262,2.053754922
262.25,2.070854868
262.5,2.08017544
262.75,2.075405069
263,2.080028659
263.25,2.070414526
263.5,2.070341136
263.75,2.072616236
264,2.053608141
264.25,2.029095772
264.5,2.043920618
264.75,2.0531678
265,2.012215997
265.25,1.975961175
265.5,1.952256099
265.75,1.963925161
266,1.977795933
266.25,1.977649153
266.5,1.977575762
266.75,1.982859866
267,1.992033657
267.25,2.001354228
267.5,2.027774746
267.75,2.041718908
268,2.065937716
268.25,2.085312763
268.5,2.060800394
268.75,2.031517653
269,2.003042206
269.25,1.993428073
269.5,2.014417707
269.75,2.002381693
270,1.99276756
270.25,1.992547389
270.5,2.013537023
270.75,2.030563579
271,2.04208586
271.25,2.056837316
271.5,2.063662616
271.75,2.065717545
272,2.060800394
272.25,2.022123691
272.5,2.005317306
272.75,2.019261468
273,2.036214634
273.25,2.026600501
273.5,2.031077311
273.75,2.028435259
274,2.051773383
274.25,2.07349692
274.5,2.070928259
274.75,2.058892245
275,2.034306485
275.25,2.051406432
275.5,2.08017544
275.75,2.101165074
276,2.105568493
276.25,2.086487008
276.5,2.06667162
276.75,2.047516744
277,2.03320563
277.25,2.020435713
277.5,2.020876055
277.75,2.037168708
278,2.036948537
278.25,2.051626603
278.5,2.031737824
278.75,2.022123691
279,2.060360052
279.25,2.064910252
279.5,2.09133077
279.75,2.12729203
280,2.110559036
280.25,2.122154707
280.5,2.119586046
280.75,2.117017384
281,2.143584683
281.25,2.118998923
281.5,2.07562524
281.75,2.041645518
282,2.024985914
282.25,2.027114233
282.5,2.034086314
282.75,2.04883777
283,2.089496012
283.25,2.125457272
283.5,2.134704453
283.75,2.134484282
284,2.139107873
284.25,2.146813857
284.5,2.115256016
284.75,2.088395157
285,2.107990374
285.25,2.105495103
285.5,2.114742284
285.75,2.105274932
286,2.06667162
286.25,2.028141698
286.5,2.009133603
286.75,1.989464995
287,1.970456901
287.25,1.953136783
287.5,1.965613139
287.75,1.97493371
288,2.013390242
288.25,2.040030931
288.5,2.039957541
288.75,2.03526056
289,2.03753566
289.25,2.07122182
289.5,2.093238918
289.75,2.07114843
290,2.030343408
290.25,2.011408703
290.5,2.018527565
290.75,2.009060213
291,2.002014741
291.25,1.996510467
291.5,1.99731776
291.75,2.023224546
292,2.047590135
292.25,2.052287116
292.5,2.050012015
292.75,2.090890428
293,2.137199724
293.25,2.1631799
293.5,2.168023662
293.75,2.122448269
294,2.062855323
294.25,2.062928713
294.5,2.087294302
294.75,2.074817946
295,2.070194355
295.25,2.082817492
295.5,2.101752196
295.75,2.101825587
296,2.090156525
296.25,2.076138972
296.5,2.0668184
296.75,2.071588772
297,2.092871967
297.25,2.098523022
297.5,2.100944903
297.75,2.103513564
298,2.101238464
298.25,2.094266383
298.5,2.081790027
298.75,2.067845865
299,2.056176803
299.25,2.027261014
299.5,2.00854648
299.75,2.008693261
300,2.025352865
300.25,2.056910706
300.5,2.088468547
300.75,2.105788664
301,2.110705816
301.25,2.081790027
301.5,2.065423984
301.75,2.065570765
302,2.0531678
302.25,2.034526656
302.5,2.000913886
302.75,1.998712177
303,2.003555938
303.25,1.994382147
303.5,1.996877418
303.75,2.004876964
304,2.005023745
304.25,1.983226817
304.5,1.971557755
304.75,1.969356046
305,1.971851317
305.25,1.976841859
305.5,1.97933713
305.75,1.987336676
306,2.008693261
306.25,2.021389788
306.5,2.042746373
306.75,2.076652704
307,2.079221366
307.25,2.081790027
307.5,2.074891336
307.75,2.049131332
308,2.044581131
308.25,2.080835953
308.5,2.090376696
308.75,2.061534297
309,2.030270017
309.25,2.016252465
309.5,2.043113325
309.75,2.052727458
310,2.05991971
310.25,2.067919255
310.5,2.070414526
310.75,2.05331458
311,2.034526656
311.25,2.013463632
311.5,2.003409158
311.75,2.027921527
312,2.059479368
312.25,2.083918347
312.5,2.06446991
312.75,2.035554121
313,2.02865543
313.25,2.041278566
313.5,2.050819309
313.75,2.041498737
314,2.022050301
314.25,2.005684258
314.5,2.001060667
314.75,2.001207448
315,1.998932348
315.25,1.991960266
315.5,2.018821126
315.75,2.078560853
316,2.110118694
