 ,Area,Mean,Min,Max
730,29,0.000,0,0
731,33,0.000,0,0
732,43,0.000,0,0
733,36,0.000,0,0
734,27,0.000,0,0
735,15,0.000,0,0
736,44,0.000,0,0
737,44,0.000,0,0
738,68,0.000,0,0
739,38,0.000,0,0
740,70,25.500,0,255
741,97,0.000,0,0
742,29,0.000,0,0
743,47,0.000,0,0
744,47,0.000,0,0
745,16,0.000,0,0
746,49,0.000,0,0
747,13,0.000,0,0
748,30,0.000,0,0
749,30,0.000,0,0
750,60,0.000,0,0
751,33,0.000,0,0
752,17,0.000,0,0
753,25,0.000,0,0
754,164,0.000,0,0
755,45,5.667,0,255
756,17,0.000,0,0
757,46,0.000,0,0
758,24,10.625,0,255
759,84,0.000,0,0
760,22,0.000,0,0
761,87,0.000,0,0
762,18,0.000,0,0
763,18,0.000,0,0
764,171,0.000,0,0
765,21,0.000,0,0
766,67,3.806,0,255
767,40,0.000,0,0
768,47,0.000,0,0
769,43,0.000,0,0
770,24,0.000,0,0
771,37,0.000,0,0
772,67,0.000,0,0
773,45,0.000,0,0
774,32,0.000,0,0
775,31,0.000,0,0
776,23,0.000,0,0
777,90,0.000,0,0
778,34,0.000,0,0
779,29,0.000,0,0
780,60,0.000,0,0
781,70,0.000,0,0
782,25,0.000,0,0
783,15,0.000,0,0
784,24,0.000,0,0
785,33,0.000,0,0
786,31,0.000,0,0
787,16,0.000,0,0
788,44,0.000,0,0
789,101,0.000,0,0
790,41,0.000,0,0
791,40,0.000,0,0
792,57,0.000,0,0
793,11,0.000,0,0
794,79,0.000,0,0
795,78,0.000,0,0
796,28,0.000,0,0
797,35,0.000,0,0
798,47,0.000,0,0
799,48,0.000,0,0
800,26,0.000,0,0
801,44,0.000,0,0
802,34,15.000,0,255
803,39,0.000,0,0
804,35,0.000,0,0
805,77,0.000,0,0
806,111,0.000,0,0
807,62,0.000,0,0
808,25,0.000,0,0
809,35,0.000,0,0
810,10,0.000,0,0
811,24,0.000,0,0
812,50,0.000,0,0
813,45,0.000,0,0
814,62,0.000,0,0
815,23,0.000,0,0
816,12,0.000,0,0
817,19,0.000,0,0
818,60,0.000,0,0
819,16,0.000,0,0
820,64,3.984,0,255
821,71,0.000,0,0
822,43,0.000,0,0
823,14,0.000,0,0
824,37,0.000,0,0
825,11,0.000,0,0
826,33,0.000,0,0
827,25,0.000,0,0
828,66,0.000,0,0
829,47,0.000,0,0
830,20,0.000,0,0
831,10,0.000,0,0
832,28,0.000,0,0
833,62,0.000,0,0
834,34,0.000,0,0
835,84,0.000,0,0
836,24,0.000,0,0
837,32,0.000,0,0
838,67,0.000,0,0
839,38,0.000,0,0
840,81,0.000,0,0
841,43,0.000,0,0
842,22,0.000,0,0
843,86,0.000,0,0
844,18,0.000,0,0
845,47,0.000,0,0
846,25,0.000,0,0
847,29,0.000,0,0
848,48,0.000,0,0
849,23,0.000,0,0
850,11,0.000,0,0
851,83,0.000,0,0
852,44,0.000,0,0
853,37,0.000,0,0
854,19,0.000,0,0
855,40,0.000,0,0
856,13,0.000,0,0
857,29,0.000,0,0
858,40,0.000,0,0
859,60,0.000,0,0
860,140,0.000,0,0
861,52,0.000,0,0
862,10,0.000,0,0
863,13,0.000,0,0
864,12,0.000,0,0
865,51,0.000,0,0
866,83,0.000,0,0
867,31,0.000,0,0
868,45,0.000,0,0
869,173,0.000,0,0
870,39,0.000,0,0
871,64,0.000,0,0
872,10,0.000,0,0
873,36,0.000,0,0
874,27,0.000,0,0
875,47,0.000,0,0
876,136,0.000,0,0
877,29,0.000,0,0
878,60,0.000,0,0
879,14,0.000,0,0
880,55,0.000,0,0
881,22,0.000,0,0
882,87,0.000,0,0
883,24,0.000,0,0
884,50,0.000,0,0
885,36,0.000,0,0
886,45,0.000,0,0
887,43,0.000,0,0
888,16,0.000,0,0
889,59,0.000,0,0
890,18,0.000,0,0
891,35,0.000,0,0
892,19,0.000,0,0
893,77,0.000,0,0
894,21,0.000,0,0
895,42,0.000,0,0
896,17,0.000,0,0
897,14,0.000,0,0
898,21,0.000,0,0
899,18,0.000,0,0
900,20,0.000,0,0
901,14,0.000,0,0
